Year,Month,Product_ID,Country,Sales
2014,7,1,Columbia,41.146080000000005
2013,6,5,England,9779211.036
2014,1,2,Argentina,11827.715199999999
2013,7,1,Columbia,144.01128
2013,11,1,Columbia,205.7304
2014,6,1,Columbia,20.573040000000002
2013,9,2,Denmark,199498.5776
2015,2,4,Finland,0.0
2013,2,1,Columbia,82.29216000000001
2016,7,3,Columbia,71.232
2014,3,5,England,19623.0915
2015,9,2,Denmark,0.0
2013,1,1,Columbia,22.858800000000002
2015,3,2,Argentina,23655.430399999997
2015,5,2,Columbia,230.4
2015,6,2,Denmark,0.0
2015,7,3,Columbia,17.808
2013,1,4,Finland,582132.096
2016,1,2,Argentina,236554.304
2015,12,2,Denmark,133017.0568
2013,10,2,Columbia,76.8
2013,3,2,Denmark,199498.5776
2013,7,1,Columbia,102.8652
2016,2,2,Denmark,0.0
2015,10,2,Columbia,115.2
2013,10,2,Columbia,345.6
2015,6,2,Columbia,576.0
2014,7,2,Columbia,1689.6000000000001
2015,2,1,Columbia,71.232
2013,6,4,Finland,4629336.192
2014,10,4,Finland,34045198.668
2013,11,2,Denmark,0.0
2014,12,2,Columbia,153.6
2014,9,5,England,1876374.2835
2015,8,3,Columbia,53.424
2015,7,4,England,275421.771
2015,12,3,Columbia,0.0
2013,7,2,Argentina,17741.572799999998
2014,1,1,Columbia,102.8652
2016,7,3,Columbia,356.16
2015,2,2,Belgium,264737.858
2013,8,1,Argentina,1124928.0
2014,10,2,Denmark,0.0
2013,5,1,Columbia,205.7304
2014,8,5,England,635268.5955
2013,11,5,England,49055.49
2014,8,1,Columbia,267.12
2013,3,5,England,122638.72499999999
2013,4,1,Columbia,20.573040000000002
2014,9,3,Columbia,17.808
2014,7,2,Denmark,0.0
2014,3,4,Finland,1726991.8847999999
2014,8,2,Argentina,47310.860799999995
2016,9,3,Columbia,0.0
2013,10,2,Argentina,106449.43680000001
2015,10,2,Columbia,153.6
2014,8,4,England,4546.4535000000005
2013,9,2,Columbia,76.8
2013,10,1,Columbia,20.573040000000002
2013,3,2,Denmark,0.0
2016,2,2,Denmark,89556624.86400001
2014,1,2,Columbia,76.8
2014,10,2,Columbia,76.8
2015,2,1,Columbia,445.2
2014,7,4,Finland,16452699.262999998
2014,5,4,Finland,5663263.1444999995
2013,1,4,England,18186.7095
2013,8,2,Belgium,264737.858
2016,11,3,Argentina,82026.0
2014,9,1,Argentina,19530.0
2014,4,1,Columbia,822.9216
2014,10,4,Finland,606211.1379999999
2014,2,4,Finland,7623158.399999999
2013,11,1,Columbia,20.573040000000002
2014,2,2,Columbia,76.8
2015,5,2,Columbia,0.0
2016,11,3,Columbia,0.0
2014,11,1,Columbia,35.616
2013,2,2,Denmark,49874.6444
2014,11,4,Finland,1697420.062
2015,12,2,Denmark,-28621.6
2015,6,2,Belgium,529475.716
2013,3,2,Columbia,115.2
2016,4,3,Columbia,35.616
2014,2,1,Columbia,41.146080000000005
2013,1,1,Argentina,156240.0
2016,2,2,Denmark,0.0
2013,7,5,England,4905.549
2013,1,2,Denmark,299247.8664
2013,3,2,Argentina,11827.715199999999
2013,11,1,Argentina,878850.0
2014,1,2,Columbia,76.8
2015,3,1,Columbia,53.424
2016,2,2,Denmark,0.0
2014,6,4,Finland,860821.7409999999
2013,1,2,Columbia,460.8
2014,3,1,Columbia,308.5956
2015,3,4,Finland,2061156.3699999999
2014,12,2,Argentina,266123.592
2016,1,1,Columbia,0.0
2015,6,2,Columbia,1536.0
2015,5,1,Columbia,356.16
2015,4,1,Columbia,356.16
2013,8,4,Finland,13804846.847999997
2016,1,1,Columbia,89.04
2015,5,2,Columbia,2304.0
2014,4,2,Denmark,19899985.16
2016,3,2,Denmark,0.0
2014,9,2,Denmark,0.0
2014,9,2,Columbia,38.4
2014,12,1,Columbia,0.0
2016,1,2,Denmark,0.0
2013,4,2,Columbia,153.6
2013,2,2,Columbia,76.8
2015,4,1,Columbia,178.08
2015,8,4,Finland,19883994.832
2016,2,1,Columbia,17.808
2016,1,1,Argentina,15624.0
2013,11,1,Columbia,102.8652
2013,1,4,Finland,519760.8
2013,9,2,Denmark,0.0
2013,3,4,Finland,0.0
2013,12,1,Columbia,41.146080000000005
2016,9,3,Argentina,312480.0
2013,6,5,England,98110.98
2015,2,2,Columbia,153.6
2014,1,1,Columbia,82.29216000000001
2015,10,4,England,45150.2145
2015,5,2,Columbia,768.0
2014,8,4,Finland,3273626.7719999994
2013,4,2,Columbia,768.0
2014,12,2,Columbia,41.28
2014,9,1,Columbia,17.808
2015,1,2,Columbia,268.8
2015,3,2,Columbia,153.6
2014,4,2,Columbia,115.2
2013,10,1,Columbia,20.573040000000002
2015,10,4,England,45151.11
2014,8,1,Columbia,17.808
2013,2,1,Argentina,351540.0
2014,1,4,Finland,2587715.7695999998
2013,10,1,Columbia,123.43824000000001
2014,10,2,Columbia,38.4
2014,4,2,Denmark,104736.764
2014,7,2,Columbia,1728.0
2014,2,1,Columbia,185.15736
2015,6,2,Denmark,51199044.595199995
2015,6,5,England,4872.415499999999
2014,4,2,Denmark,0.0
2015,7,2,Denmark,-308973.8304
2015,9,2,Denmark,0.0
2015,1,2,Denmark,0.0
2013,3,1,Columbia,102.8652
2015,7,2,Denmark,0.0
2014,12,2,Denmark,0.0
2013,11,1,Columbia,123.43824000000001
2014,12,1,Argentina,11718.0
2015,3,5,England,146174.256
2013,9,2,Denmark,49874.6444
2015,4,1,Columbia,53.424
2016,2,1,Columbia,17.808
2015,7,4,Finland,4146536.1599999997
2015,12,2,Denmark,0.0
2015,2,2,Columbia,384.0
2013,10,4,Finland,7484555.52
2014,4,4,Finland,33972448.198
2014,1,1,Columbia,20.573040000000002
2014,1,4,Finland,7623158.399999999
2013,7,2,Denmark,0.0
2013,5,2,Denmark,0.0
2014,12,1,Columbia,89.04
2015,5,2,Denmark,58560.9772
2013,5,2,Columbia,38.4
2013,4,2,Argentina,23655.430399999997
2016,6,3,Columbia,0.0
2013,3,1,Columbia,164.58432000000002
2013,9,2,Columbia,384.0
2013,9,4,Finland,9729922.175999999
2014,8,1,Columbia,356.16
2013,10,2,Columbia,115.2
2015,10,4,Finland,151552.78449999998
2013,4,4,England,18186.7095
2016,3,1,Columbia,17.808
2016,9,3,Argentina,624960.0
2013,2,4,Finland,2870465.6447999994
2013,7,1,Columbia,20.573040000000002
2014,5,2,Argentina,124191.00959999999
2015,10,3,Argentina,195300.0
2014,7,2,Argentina,17741.572799999998
2013,4,5,England,618099.174
2016,7,3,Columbia,890.4
2014,8,2,Denmark,0.0
2015,8,4,Finland,8608265.536
2014,8,2,Denmark,-49874.6444
2014,7,2,Denmark,0.0
2015,1,1,Columbia,35.616
2015,8,2,Columbia,38.4
2014,5,4,Finland,2667357.8828
2015,5,1,Columbia,356.16
2014,7,2,Argentina,47310.860799999995
2013,6,1,Columbia,822.9216
2014,5,4,England,9092.907000000001
2015,1,2,Columbia,76.8
2013,8,1,Columbia,246.87648000000002
2014,3,5,England,490555.7955
2016,11,3,Columbia,0.0
2014,5,2,Argentina,29569.288
2014,6,1,Columbia,41.146080000000005
2013,1,2,Argentina,283865.16479999997
2014,2,5,England,1253367.7695
2014,11,2,Denmark,219947.312
2015,11,1,Columbia,35.616
2016,3,1,Columbia,445.2
2015,11,1,Argentina,0.0
2014,11,2,Columbia,153.6
2014,7,4,Finland,2085389.4151999997
2013,12,2,Columbia,0.0
2013,9,2,Columbia,0.0
2013,10,1,Columbia,205.7304
2016,1,2,Denmark,0.0
2013,3,1,Columbia,308.5956
2013,6,2,Denmark,99749.2888
2015,4,1,Columbia,45.717600000000004
2015,6,2,Denmark,0.0
2014,12,2,Denmark,0.0
2015,2,3,Columbia,17.808
2013,10,2,Belgium,529475.716
2014,11,2,Denmark,523683.82
2014,4,2,Denmark,209473.528
2015,2,4,Finland,8773167.670799999
2014,2,1,Columbia,41.146080000000005
2013,9,2,Columbia,0.0
2013,7,1,Columbia,61.719120000000004
2016,2,1,Columbia,445.2
2015,6,2,Columbia,76.8
2014,9,1,Columbia,106.848
2016,3,2,Denmark,207307.002
2014,3,2,Denmark,523683.82
2016,9,3,Columbia,552.048
2015,6,4,Finland,727472.6159999999
2015,10,2,Columbia,384.0
2014,3,2,Denmark,209473.528
2016,6,3,Columbia,17.808
2013,1,1,Columbia,2057.304
2015,12,2,Denmark,1596204.6816
2013,3,1,Argentina,429660.0
2015,3,2,Denmark,0.0
2014,11,4,England,11287.7775
2014,9,2,Columbia,76.8
2014,1,2,Argentina,1182771.52
2014,7,4,Finland,1939894.892
2016,1,2,Denmark,0.0
2014,3,2,Denmark,0.0
2014,7,1,Columbia,617.1912
2013,12,2,Columbia,307.2
2013,1,1,Columbia,411.4608
2015,4,2,Denmark,24822624.473599996
2016,3,2,Columbia,1920.0
2013,2,2,Columbia,76.8
2015,1,2,Denmark,0.0
2016,1,2,Denmark,0.0
2013,3,2,Argentina,112363.2944
2013,6,1,Columbia,0.0
2013,6,1,Argentina,390600.0
2015,1,2,Columbia,115.2
2014,11,4,Finland,7686861.181999999
2014,8,2,Columbia,115.2
2014,11,4,England,45151.11
2015,10,2,Columbia,1382.4
2013,6,2,Argentina,35483.145599999996
2016,1,2,Columbia,576.0
2015,2,2,Columbia,153.6
2015,3,2,Columbia,38.4
2015,10,4,Finland,4995222.128
2014,10,1,Columbia,71.232
2013,5,5,England,9811.098
2013,10,2,Denmark,0.0
2016,12,3,Columbia,71.232
2013,7,2,Columbia,1881.6000000000001
2015,5,1,Columbia,35.616
2016,5,3,Columbia,22.858800000000002
2014,7,2,Denmark,0.0
2015,4,3,Columbia,89.04
2015,10,3,Argentina,136710.0
2014,10,2,Columbia,38.4
2013,3,2,Argentina,266123.592
2013,9,1,Argentina,97650.0
2015,9,2,Columbia,115.2
2014,2,1,Columbia,411.4608
2014,10,2,Denmark,0.0
2015,7,2,Belgium,1323689.2899999998
2013,11,1,Columbia,205.7304
2014,12,1,Argentina,117180.0
2014,7,1,Argentina,27342.0
2014,4,2,Argentina,141932.58239999998
2014,6,2,Belgium,1191320.361
2013,10,5,England,2256552.54
2013,9,1,Argentina,7812.0
2013,4,1,Columbia,123.43824000000001
2013,7,2,Columbia,1152.0
2014,9,2,Columbia,1152.0
2015,10,1,Columbia,17.808
2013,4,2,Columbia,768.0
2014,7,4,England,181857.2445
2015,6,1,Columbia,45.717600000000004
2014,9,1,Columbia,267.12
2014,12,5,England,1342350.0225
2016,1,2,Denmark,-52368.382
2013,8,4,Finland,1108823.0399999998
2013,3,5,England,269805.195
2015,6,3,Columbia,71.232
2013,1,1,Columbia,617.1912
2014,9,1,Columbia,0.0
2014,4,2,Columbia,307.2
2015,10,2,Columbia,38.4
2015,9,2,Columbia,576.0
2016,1,2,Columbia,38.4
2015,3,1,Argentina,2324070.0
2014,10,2,Denmark,104736.764
2016,12,3,Argentina,97650.0
2015,3,2,Argentina,141932.58239999998
2014,10,2,Denmark,0.0
2015,9,1,Columbia,356.16
2014,3,1,Columbia,41.146080000000005
2015,12,2,Denmark,0.0
2015,5,2,Belgium,1323689.2899999998
2015,10,3,Argentina,1249920.0
2013,3,1,Columbia,411.4608
2014,2,2,Denmark,0.0
2014,2,2,Denmark,2094735.28
2015,2,2,Columbia,192.0
2015,2,1,Columbia,35.616
2014,10,1,Columbia,71.232
2013,9,4,Finland,24477268.607999995
2015,7,1,Columbia,106.848
2014,6,4,Finland,33148017.734
2013,4,2,Columbia,115.2
2015,2,2,Denmark,164960.484
2015,4,1,Argentina,3718512.0
2015,10,5,England,194869.75499999998
2013,4,1,Columbia,308.5956
2014,12,2,Columbia,307.2
2014,9,2,Columbia,192.0
2016,3,2,Columbia,576.0
2015,9,2,Columbia,307.2
2015,4,1,Columbia,142.464
2013,2,2,Columbia,422.40000000000003
2013,8,2,Denmark,-43220.8756
2015,5,1,Columbia,53.424
2013,5,2,Denmark,0.0
2014,12,2,Columbia,153.6
2013,4,2,Denmark,0.0
2013,8,4,Finland,10977348.095999999
2013,1,2,Columbia,192.0
2014,2,1,Columbia,22.858800000000002
2014,10,1,Columbia,267.12
2014,12,1,Argentina,1562400.0
2014,1,4,Finland,5849041.536
2015,3,2,Columbia,422.40000000000003
2015,11,2,Denmark,-52368.382
2013,7,4,Finland,3215586.8159999996
2014,11,4,Finland,5698423.198
2013,10,2,Columbia,0.0
2014,9,1,Columbia,17.808
2014,11,2,Columbia,1459.2
2013,11,2,Denmark,0.0
2014,3,1,Argentina,31248.0
2014,11,2,Columbia,384.0
2013,3,2,Columbia,153.6
2014,5,2,Denmark,104736.764
2013,4,1,Columbia,205.7304
2015,9,3,Columbia,53.424
2013,10,2,Columbia,768.0
2013,10,2,Columbia,115.2
2014,6,2,Columbia,76.8
2015,1,2,Columbia,153.6
2015,8,1,Columbia,35.616
2013,9,2,Denmark,0.0
2013,5,1,Columbia,41.146080000000005
2015,7,3,Argentina,1562400.0
2015,9,3,Columbia,35.616
2013,3,1,Columbia,123.43824000000001
2014,3,1,Columbia,123.43824000000001
2015,2,2,Denmark,0.0
2015,9,4,England,54181.331999999995
2016,1,2,Denmark,0.0
2013,3,1,Columbia,205.7304
2015,9,2,Denmark,-204387.9216
2014,3,2,Columbia,384.0
2014,12,2,Denmark,0.0
2015,4,1,Argentina,11718.0
2015,2,2,Denmark,0.0
2014,7,2,Denmark,0.0
2013,4,2,Denmark,49874.6444
2013,3,2,Denmark,598495.7328
2014,2,2,Columbia,38.4
2016,1,2,Denmark,0.0
2014,4,2,Denmark,1047367.64
2015,1,3,Columbia,22.858800000000002
2014,2,1,Columbia,617.1912
2013,6,4,Finland,2720774.5344
2013,12,1,Columbia,20.573040000000002
2015,3,1,Argentina,589806.0
2014,2,2,Denmark,0.0
2013,6,1,Columbia,20.573040000000002
2016,9,3,Columbia,2671.2000000000003
2015,7,4,Finland,53419827.91599999
2013,2,5,England,1287706.6125
2015,1,1,Argentina,39060.0
2013,11,2,Columbia,38.4
2014,4,4,Finland,15955661.955999998
2015,4,2,Belgium,264737.858
2013,9,2,Argentina,29569.288
2016,8,3,Columbia,17.808
2013,2,2,Columbia,153.6
2015,8,1,Argentina,2324070.0
2015,1,1,Columbia,17.808
2014,7,2,Denmark,0.0
2014,8,5,England,210938.607
2014,12,1,Columbia,89.04
2014,8,2,Denmark,-149623.9332
2015,2,2,Denmark,0.0
2015,12,2,Columbia,768.0
2014,9,2,Denmark,0.0
2016,1,2,Denmark,0.0
2013,2,1,Columbia,41.146080000000005
2014,6,1,Columbia,226.30344
2015,6,4,Finland,2380014.3808999998
2014,7,4,Finland,1709555.835
2013,8,2,Argentina,29569.288
2013,11,2,Denmark,0.0
2015,6,4,England,270906.66
2016,3,2,Denmark,0.0
2015,4,2,Columbia,153.6
2015,6,1,Columbia,356.16
2016,3,1,Columbia,712.32
2014,5,5,England,29434.1895
2014,7,2,Argentina,11827.715199999999
2014,3,5,England,98110.98
2015,7,2,Columbia,38.4
2014,6,1,Columbia,1028.652
2014,11,3,Columbia,22.858800000000002
2014,7,2,Denmark,0.0
2013,8,4,Finland,10429866.719999999
2015,7,4,Finland,13434968.860299999
2013,11,2,Denmark,0.0
2013,10,2,Denmark,-94999.3944
2014,9,2,Denmark,104736.764
2014,9,1,Argentina,93744.0
2013,10,2,Columbia,806.4
2013,6,2,Columbia,38.4
2014,1,1,Columbia,308.5956
2014,8,4,England,463738.257
2013,1,2,Columbia,115.2
2013,4,1,Columbia,308.5956
2014,7,2,Columbia,652.8000000000001
2013,1,2,Columbia,230.4
2013,11,1,Columbia,20.573040000000002
2015,6,1,Columbia,1246.56
2016,2,1,Columbia,623.28
2013,10,1,Columbia,205.7304
2013,10,1,Columbia,41.146080000000005
2013,8,2,Denmark,598495.7328
2013,3,1,Argentina,585900.0
2015,9,2,Belgium,529475.716
2014,7,1,Columbia,61.719120000000004
2013,1,2,Columbia,0.0
2015,6,2,Denmark,0.0
2014,7,1,Columbia,102.8652
2013,4,4,Finland,2079043.2
2013,5,2,Denmark,0.0
2014,3,4,Finland,73320923.52
2014,5,2,Columbia,38.4
2015,4,2,Denmark,0.0
2014,10,2,Columbia,2534.4
2014,3,1,Columbia,205.7304
2016,1,1,Columbia,178.08
2015,11,2,Denmark,0.0
2014,12,4,Finland,2698882.0169999995
2013,8,4,Finland,9036907.776
2014,7,4,Finland,2667367.508
2014,7,2,Columbia,153.6
2014,1,2,Denmark,498746.444
2015,2,1,Columbia,71.232
2013,6,4,Finland,2374267.3343999996
2014,1,5,England,98111.8755
2014,5,5,England,78488.784
2014,11,4,Finland,2812852.4059999995
2014,3,2,Columbia,307.2
2013,1,4,England,1145706.2820000001
2015,4,1,Argentina,136710.0
2013,11,1,Argentina,113274.0
2016,1,1,Columbia,-178.08
2015,7,2,Denmark,0.0
2015,3,2,Denmark,0.0
2013,7,1,Columbia,68.57639999999999
2013,9,1,Argentina,265608.0
2014,11,1,Columbia,89.04
2015,5,1,Columbia,106.848
2013,2,2,Denmark,-428676.4632
2016,3,1,Columbia,249.312
2013,8,2,Denmark,0.0
2013,6,1,Columbia,22.858800000000002
2016,1,2,Columbia,883.2
2014,10,2,Denmark,0.0
2013,12,2,Columbia,192.0
2013,7,2,Argentina,53224.718400000005
2014,5,2,Denmark,-142499.09159999999
2015,11,2,Columbia,422.40000000000003
2014,12,2,Denmark,0.0
2013,2,4,England,2273.6745
2013,12,1,Argentina,97650.0
2013,1,2,Columbia,307.2
2014,9,4,Finland,3420281.9338999996
2013,6,4,Finland,8870584.319999998
2014,6,4,Finland,4449632.1038
2013,5,2,Columbia,115.2
2015,6,2,Denmark,0.0
2013,3,2,Columbia,-71.04
2015,11,3,Columbia,71.232
2014,8,4,Finland,19932393.546
2015,4,1,Columbia,178.08
2015,1,2,Denmark,-244312.256
2015,1,2,Denmark,3299209.6799999997
2013,3,4,Finland,5814390.816
2013,4,1,Columbia,205.7304
2014,2,2,Denmark,0.0
2013,4,2,Belgium,132368.929
2014,11,1,Columbia,142.464
2013,5,2,Denmark,4987464.4399999995
2015,4,1,Columbia,35.616
2014,7,1,Argentina,50778.0
2014,1,2,Columbia,115.2
2014,10,1,Columbia,534.24
2015,6,1,Columbia,53.424
2013,10,1,Columbia,82.29216000000001
2013,1,2,Columbia,76.8
2014,10,2,Columbia,768.0
2014,10,4,Finland,2909842.338
2014,9,1,Columbia,17.808
2015,6,1,Columbia,534.24
2016,3,2,Denmark,0.0
2014,7,2,Columbia,768.0
2015,8,1,Columbia,53.424
2015,3,1,Columbia,89.04
2013,12,1,Columbia,205.7304
2014,3,1,Columbia,617.1912
2014,6,4,Finland,2424892.678
2016,2,2,Denmark,0.0
2015,11,2,Columbia,192.0
2015,10,2,Argentina,59138.576
2013,7,1,Columbia,123.43824000000001
2014,4,2,Argentina,47310.860799999995
2013,9,1,Argentina,11718.0
2014,2,2,Belgium,132368.929
2014,10,2,Denmark,52368.382
2015,1,2,Denmark,149647493.296
2015,12,2,Columbia,768.0
2014,9,2,Denmark,148726204.88
2015,12,1,Columbia,1406.832
2016,1,2,Columbia,192.0
2016,12,3,Columbia,0.0
2015,12,2,Denmark,0.0
2013,10,4,England,9092.907000000001
2013,7,2,Columbia,307.2
2014,1,1,Argentina,488250.0
2013,12,2,Denmark,0.0
2014,9,1,Columbia,35.616
2013,9,4,Finland,1871138.88
2014,5,2,Denmark,0.0
2013,12,2,Argentina,100535.57920000001
2013,5,1,Columbia,144.01128
2013,5,4,Finland,17186757.119999997
